g10000.t1	GO:0005515
g10000.t1	GO:0009790
g10000.t1	GO:0016323
g10000.t1	GO:0019901
g10000.t1	GO:0030054
g10000.t1	GO:0043113
g10000.t1	GO:0045197
g10000.t1	GO:0097120
g10000.t1	GO:0098609
g10001.t1	GO:0003674
g10001.t1	GO:0003676
g10001.t1	GO:0003723
g10001.t1	GO:0003746
g10001.t1	GO:0003824
g10001.t1	GO:0003924
g10001.t1	GO:0005488
g10001.t1	GO:0005525
g10001.t1	GO:0005575
g10001.t1	GO:0005622
g10001.t1	GO:0005623
g10001.t1	GO:0005737
g10001.t1	GO:0005739
g10001.t1	GO:0006139
g10001.t1	GO:0006152
g10001.t1	GO:0006163
g10001.t1	GO:0006184
g10001.t1	GO:0006195
g10001.t1	GO:0006412
g10001.t1	GO:0006414
g10001.t1	GO:0006725
g10001.t1	GO:0006753
g10001.t1	GO:0006793
g10001.t1	GO:0006796
g10001.t1	GO:0006807
g10001.t1	GO:0006996
g10001.t1	GO:0007005
g10001.t1	GO:0008135
g10001.t1	GO:0008150
g10001.t1	GO:0008152
g10001.t1	GO:0009056
g10001.t1	GO:0009058
g10001.t1	GO:0009059
g10001.t1	GO:0009116
g10001.t1	GO:0009117
g10001.t1	GO:0009119
g10001.t1	GO:0009141
g10001.t1	GO:0009143
g10001.t1	GO:0009144
g10001.t1	GO:0009146
g10001.t1	GO:0009150
g10001.t1	GO:0009154
g10001.t1	GO:0009164
g10001.t1	GO:0009166
g10001.t1	GO:0009199
g10001.t1	GO:0009203
g10001.t1	GO:0009205
g10001.t1	GO:0009207
g10001.t1	GO:0009259
g10001.t1	GO:0009261
g10001.t1	GO:0009987
g10001.t1	GO:0010467
g10001.t1	GO:0016043
g10001.t1	GO:0016462
g10001.t1	GO:0016787
g10001.t1	GO:0016817
g10001.t1	GO:0016818
g10001.t1	GO:0017111
g10001.t1	GO:0019439
g10001.t1	GO:0019538
g10001.t1	GO:0019637
g10001.t1	GO:0019693
g10001.t1	GO:0022411
g10001.t1	GO:0032543
g10001.t1	GO:0032790
g10001.t1	GO:0032984
g10001.t1	GO:0032988
g10001.t1	GO:0034641
g10001.t1	GO:0034645
g10001.t1	GO:0034655
g10001.t1	GO:0042278
g10001.t1	GO:0042454
g10001.t1	GO:0043170
g10001.t1	GO:0043226
g10001.t1	GO:0043227
g10001.t1	GO:0043229
g10001.t1	GO:0043231
g10001.t1	GO:0043933
g10001.t1	GO:0044237
g10001.t1	GO:0044238
g10001.t1	GO:0044248
g10001.t1	GO:0044249
g10001.t1	GO:0044260
g10001.t1	GO:0044267
g10001.t1	GO:0044270
g10001.t1	GO:0044281
g10001.t1	GO:0044424
g10001.t1	GO:0044444
g10001.t1	GO:0044464
g10001.t1	GO:0044699
g10001.t1	GO:0044710
g10001.t1	GO:0044763
g10001.t1	GO:0046039
g10001.t1	GO:0046128
g10001.t1	GO:0046130
g10001.t1	GO:0046434
g10001.t1	GO:0046483
g10001.t1	GO:0046700
g10001.t1	GO:0055086
g10001.t1	GO:0071704
g10001.t1	GO:0071826
g10001.t1	GO:0071840
g10001.t1	GO:0072521
g10001.t1	GO:0072523
g10001.t1	GO:0097159
g10001.t1	GO:1901068
g10001.t1	GO:1901069
g10001.t1	GO:1901135
g10001.t1	GO:1901136
g10001.t1	GO:1901292
g10001.t1	GO:1901360
g10001.t1	GO:1901361
g10001.t1	GO:1901363
g10001.t1	GO:1901564
g10001.t1	GO:1901565
